net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc,year,zipcode_processed
Liander N.V. (NW),Liander NW,Cornelis Groenplantsoen,1785BE,1785BE,DEN HELDER,16.0,100.0,100.0,1x25,2679.0,0.0,0.0,2014,1785
Enexis B.V.,ENEXIS,Boschweg,5481EE,5481EE,SCHIJNDEL,22.0,95.45,100.0,3x25,8274.77,47.24,54.55,2020,5481
Enexis B.V.,ENEXIS,Schuurkerkstraat,4813CA,4813CA,BREDA,17.0,100.0,100.0,1x25,2628.76,43.68,88.24,2018,4813
Liander N.V. (NW),Liander NW,Esdoornplantsoen,1744LJ,1744LJ,SINT MAARTEN,16.0,100.0,100.0,1x25,4170.0,37.5,0.0,2011,1744
Enexis B.V.,ENEXIS,Vormtweg,8322NC,8325AA,VOLLENHOVE,26.0,100.0,100.0,3X25,7317.0,36.0,0.0,2011,8322
Stedin Utrecht,8716874000009,Framboos,3911NV,3911NX,RHENEN,18.0,100.0,88.89,1x35,6136.0,94.44,72.22,2011,3911
Stedin Utrecht,8716874000009,De Kievit,3972PK,3972PK,DRIEBERGEN-RIJSENBURG,20.0,100.0,100.0,1x25,3045.0,100.0,100.0,2018,3972
Enexis,ENEXIS,Wanmakersweg,7664VM,7664VS,MANDERVEEN,25.0,100.0,100.0,3X25,8048.0,46.0,32.0,2015,7664
Stedin,8716892000005,Pootstraat,3351ES,3351ES,PAPENDRECHT,25.0,100.0,100.0,1x35,3165.0,88.0,0.0,2009,3351
Stedin Utrecht,8716874000009,Rozenlaan,3911DR,3911DR,RHENEN,36.0,100.0,83.33,1x25,3380.0,86.11,8.33,2012,3911
Liander N.V. (NW),Liander NW,Dorpsstraat,1566BT,1566BT,ASSENDELFT,16.0,100.0,100.0,3x25,19221.0,25.0,0.0,2009,1566
Stedin,8716892000005,Trekweg,2516SH,2516SH,'S-GRAVENHAGE,18.0,100.0,100.0,1x35,2287.0,50.0,0.0,2011,2516
Liander N.V. (NW),Liander NW,Middenweg,1782BB,1782BB,DEN HELDER,21.0,90.48,95.24,1x25,2818.0,9.52,4.76,2014,1782
Enexis B.V.,ENEXIS,Burgemeester v Engelenwg,8271AV,8271AV,IJSSELMUIDEN,28.0,100.0,100.0,1x35,6641.0,47.0,18.0,2016,8271
Enexis B.V.,ENEXIS,Acacialaan,6063BH,6063BH,VLODROP,13.0,92.31,100.0,1x35,3294.31,41.85,23.08,2018,6063
Stedin Utrecht,8716874000009,Apollo,3769TD,3769TD,SOESTERBERG,26.0,100.0,100.0,3x25,4193.0,100.0,0.0,2013,3769
Enexis B.V.,ENEXIS,Laan van Tasmanie,5152HT,5152HT,DRUNEN,28.0,100.0,100.0,1X40,3617.0,58.0,100.0,2017,5152
Liander N.V. (NW),Liander NW,Vlietgors,1947JJ,1947JJ,BEVERWIJK,23.0,100.0,100.0,1x25,5100.0,30.43,4.35,2013,1947
Liander N.V. (NW),Liander NW,Johan Huizingalaan,1065JA,1065JA,AMSTERDAM,14.0,100.0,85.71,3x25,12860.0,64.29,7.14,2013,1065
Stedin,8716892000005,Veurselaan,2272AP,2272AP,VOORBURG,40.0,90.0,100.0,1x35,2383.0,30.0,15.0,2019,2272
Enexis B.V.,ENEXIS,Zomereik,5432KK,5432KS,CUIJK,27.0,100.0,100.0,1x40,2984.0,57.0,100.0,2016,5432
Enexis B.V.,ENEXIS,Lageweg,4844AG,4844AG,TERHEIJDEN,16.0,88.0,100.0,3x25,5939.0,34.0,50.0,2016,4844
Enexis B.V.,ENEXIS,Julianastraat,5165TC,5165TC,WASPIK,13.0,92.0,100.0,1X25,3886.0,27.0,15.0,2014,5165
Enexis B.V.,ENEXIS,Brouwketel,5482LV,5482LV,SCHIJNDEL,36.0,100.0,100.0,1X40,4086.0,19.0,44.0,2014,5482
Liander N.V. (NW),Liander NW,Eksterlaan,2026XM,2026XM,HAARLEM,19.0,100.0,100.0,3x25,3027.0,0.0,0.0,2010,2026
Enexis B.V.,ENEXIS,Bizetstraat,5102BL,5102BL,DONGEN,21.0,95.0,100.0,1X35,3714.0,15.0,19.0,2017,5102
